,Symbol,Entry_Date,Entry_Price,Exit_Date,Exit_Price,PnL_Pct,Portfolio
0,MSFT,2020-02-25,160.5782012939453,2020-02-27,151.12905883789062,-5.884449059656376,94115.55094034363
1,MSFT,2020-02-28,154.78836059570312,2020-03-02,165.08779907226562,6.65388433401911,100377.89084023892
2,MSFT,2020-03-03,157.17691040039062,2020-03-09,143.90606689453125,-8.44325255665949,91902.73200554958
3,MSFT,2020-03-10,153.74693298339844,2020-03-11,146.78192138671875,-4.530179211725653,87739.37354522623
4,MSFT,2020-03-12,132.86135864257812,2020-03-13,151.75009155273438,14.216874720490003,100213.1703626938
5,MSFT,2020-03-16,129.38363647460938,2020-03-18,134.14161682128906,3.6774204809225686,103898.43001419332
6,MSFT,2020-03-20,131.2276153564453,2020-03-24,141.7277069091797,8.001434396421542,112211.79473069095
7,MSFT,2020-04-07,156.202392578125,2020-04-09,157.77882385253906,1.0092235134142435,113344.26254793719
8,MSFT,2020-07-28,193.55247497558594,2020-08-03,207.46383666992188,7.1873850727512885,121490.75115512767
9,MSFT,2020-09-16,196.9303436279297,2020-10-09,207.26426696777344,5.247501806714026,127865.98051698344
10,MSFT,2020-10-12,212.63291931152344,2020-10-13,214.03506469726562,0.6594206533410463,128709.15520110946
11,MSFT,2020-10-29,196.61341857910156,2020-10-30,194.45252990722656,-1.099054524096803,127294.5714079449
12,MSFT,2020-11-02,194.3180389404297,2020-11-04,207.8212890625,6.9490461079683294,136140.32986802366
13,MSFT,2020-11-12,206.90895080566406,2020-11-23,202.31826782226562,-2.2186971445764874,133119.7882566248
14,MSFT,2020-11-24,205.92919921875,2020-12-15,206.18922424316406,0.12626913783986932,133287.8774655507
15,MSFT,2020-12-18,210.4837646484375,2020-12-31,214.1717529296875,1.7521485742189653,135623.2791101701
16,MSFT,2021-01-12,206.9595184326172,2021-01-14,205.12039184570312,-0.8886407355614588,134418.07540509288
17,MSFT,2021-01-15,204.76409912109375,2021-01-22,217.57089233398438,6.254413380011953,142825.13749838358
18,MSFT,2021-02-22,226.33348083496094,2021-03-03,219.6258544921875,-2.963603227427294,138592.367113904
19,MSFT,2021-03-04,218.8247528076172,2021-03-30,223.7662811279297,2.258212682482458,141722.07752502282
20,MSFT,2021-03-31,227.549560546875,2021-04-08,244.4201202392578,7.414015501430728,152229.3743216777
21,MSFT,2021-05-03,243.0785675048828,2021-05-10,238.56175231933594,-1.858170891786313,149400.69239928384
22,MSFT,2021-05-11,237.64491271972656,2021-06-11,249.4730682373047,4.977239101065043,156836.72207864292
23,MSFT,2021-09-10,286.6063537597656,2021-09-27,285.11383056640625,-0.5207571897064127,156019.98357231854
24,MSFT,2021-09-28,274.7916259765625,2021-10-14,293.42962646484375,6.782594055421078,166602.18570336356
25,MSFT,2021-10-18,297.82989501953125,2021-10-19,298.74090576171875,0.30588290746560454,167111.79331289427
26,MSFT,2021-12-03,313.6386413574219,2021-12-07,325.2031555175781,3.687209621271556,173273.55543420673
27,MSFT,2021-12-31,326.5625305175781,2022-01-05,307.2010192871094,-5.928883267710519,163000.36859870094
28,MSFT,2022-01-11,305.841552734375,2022-01-13,295.9570007324219,-3.2319192449751624,157732.32831657905
29,MSFT,2022-01-14,301.2003173828125,2022-01-21,287.44134521484375,-4.568047035117063,150527.04136949245
30,MSFT,2022-01-24,287.7715759277344,2022-02-23,272.70135498046875,-5.236869172600313,142644.13714358618
31,MSFT,2022-03-07,271.3780517578125,2022-03-16,286.4400634765625,5.550195242831163,150561.16525750706
32,MSFT,2022-03-24,295.88787841796875,2022-03-28,302.3095703125,2.170312595725879,153828.8131913624
33,MSFT,2022-04-11,277.5566711425781,2022-04-18,272.944580078125,-1.6616754500863498,151272.67756740234
34,MSFT,2022-04-19,277.5955810546875,2022-04-22,266.6299133300781,-3.950231370019212,145297.0568038668
35,MSFT,2022-04-25,273.1391906738281,2022-04-26,262.9227600097656,-3.740375241963191,139862.40166387378
36,MSFT,2022-04-29,270.02557373046875,2022-05-09,257.43505859375,-4.662712113811197,133341.02051882507
37,MSFT,2022-05-18,247.79441833496094,2022-05-27,266.4804382324219,7.5409365646815125,143396.18229084864
38,MSFT,2022-06-07,265.7587585449219,2022-06-08,263.72039794921875,-0.7669965824883908,142296.338473259
39,MSFT,2022-06-13,236.2667999267578,2022-06-24,261.0775146484375,10.501143084585289,157239.08058046174
40,MSFT,2022-07-07,261.7601318359375,2022-07-08,261.0384826660156,-0.27569101713861477,156805.58655987008
41,MSFT,2022-07-15,250.36912536621094,2022-07-28,269.5719909667969,7.669821737204302,168832.29552298968
42,MSFT,2022-08-26,262.0128479003906,2022-08-31,255.54286193847656,-2.4693391998753267,164663.25346759113
43,MSFT,2022-09-01,254.49713134765625,2022-09-13,246.2777862548828,-3.229641548118429,159345.22061911825
44,MSFT,2022-09-14,246.50253295898438,2022-09-19,238.9770965576172,-3.0528840053012143,154480.59586562525
45,MSFT,2022-09-20,236.9540252685547,2022-09-30,227.62046813964844,-3.938973865638261,148395.645566996
46,MSFT,2022-10-03,235.28277587890625,2022-10-10,224.05325317382812,-4.772777209521559,141313.05201545203
47,MSFT,2022-10-11,220.30030822753906,2022-10-21,236.63148498535156,7.413142945285717,151788.79056170347
48,MSFT,2022-10-28,230.52316284179688,2022-11-01,222.99771118164062,-3.2645099812901694,146833.63034333705
49,MSFT,2022-11-04,216.37142944335938,2022-11-10,237.4720001220703,9.752013347138579,161152.8655725074
50,MSFT,2022-11-17,236.8671417236328,2022-11-22,240.1504364013672,1.3861334475700278,163386.6593439255
51,MSFT,2022-12-20,236.9847412109375,2022-12-27,232.2411346435547,-2.001650630814488,160116.2292465011
52,MSFT,2022-12-28,229.85952758789062,2023-01-04,224.53765869140625,-2.3152700922738427,156409.10607788025
53,MSFT,2023-01-05,217.8828582763672,2023-01-11,231.07479858398438,6.054602189440829,165879.0552389564
54,MSFT,2023-01-26,243.06129455566406,2023-01-27,243.2180633544922,0.06449764003549442,165986.0433148987
55,MSFT,2023-02-28,245.0652618408203,2023-03-02,246.72576904296875,0.6775775520673359,167110.72748396522
56,MSFT,2023-03-06,252.38519287109375,2023-03-16,271.377685546875,7.525200848641586,179686.1453667597
57,MSFT,2023-03-17,274.55133056640625,2023-03-21,268.99993896484375,-2.021986777521654,176052.9152664055
58,MSFT,2023-04-25,270.61138916015625,2023-05-05,305.2262268066406,12.791345461812117,198572.45185372277
59,MSFT,2023-08-03,321.6583251953125,2023-08-17,312.68878173828125,-2.7885314181079877,193035.19664607436
60,MSFT,2023-08-18,312.2940368652344,2023-09-08,329.8486633300781,5.6211852909696045,203886.06272633772
61,MSFT,2023-09-22,312.8169860839844,2023-09-26,308.01141357421875,-1.5362249249711255,200753.91421219346
62,MSFT,2023-09-27,308.6528015136719,2023-10-11,328.023193359375,6.275786822834041,213352.80190664588
63,MSFT,2023-10-16,328.24029541015625,2023-10-25,336.1640625,2.4140141233855887,218503.16867731122
64,MSFT,2023-12-14,361.82281494140625,2023-12-19,369.0705871582031,2.003127474968814,222880.0656827639
65,MSFT,2024-01-10,378.4738464355469,2024-01-11,380.3129577636719,0.48592824720801303,223963.1028793122
66,MSFT,2024-04-15,409.75372314453125,2024-04-19,395.3701171875,-3.510305128321619,216101.3145933915
67,MSFT,2024-04-22,397.19281005859375,2024-05-20,422.1037292480469,6.2717447442662095,229654.63743369273
68,MSFT,2024-07-22,439.56982421875,2024-07-23,441.4653015136719,0.4312118781790169,230644.93550909578
69,MSFT,2024-07-24,425.6366271972656,2024-08-05,392.1434326171875,-7.868964379457729,212495.5676908618
70,MSFT,2024-08-06,396.56951904296875,2024-08-20,422.32769775390625,6.495249249891686,226297.6844573556
