Price,Close,High,Low,Open,Volume,RSI,MA_Short,MA_Long,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,Volume_MA,RSI_Buy_Signal,MA_Crossover,Buy_Signal,Sell_Signal
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,
2023-02-22,1090.2969970703125,1113.7171398223675,1088.532506453579,1111.8609999506527,11024335,57.8867648045908,1096.4728759765626,1099.1471883138022,1097.4735690735974,1102.8080151791733,-5.3344461055758075,-11.658050073881205,6.323603968305397,1084.4396911621093,1124.1570840803533,1044.7222982438652,16795572.85,0,0,0,0
2023-02-23,1085.0721435546875,1097.5614154720001,1082.2535652696852,1089.8845780570418,9851910,55.683498156745806,1096.99765625,1096.7234334309896,1095.5656574553036,1101.494246910693,-5.928589455389329,-10.51215795018283,4.583568494793502,1084.0948059082032,1123.6563674860874,1044.533244330319,16668917.45,0,1,1,0
2023-02-24,1092.4969482421875,1098.2030842261706,1085.3013906282733,1087.1346181952451,9434053,60.70851377117389,1099.154052734375,1095.3805582682292,1095.0935483455935,1100.8277803426556,-5.734231997062125,-9.556572759558689,3.822340762496564,1085.156964111328,1124.4063611287077,1045.9075670939485,15849071.35,0,0,0,0
2023-02-27,1085.2325439453125,1095.2240101015127,1077.8307754283262,1091.717819898285,11199715,58.909817753901876,1101.1935668945312,1093.856640625,1093.5764707455503,1099.6725776465562,-6.096106901005896,-8.86447958784813,2.768372686842234,1085.342578125,1124.554654971878,1046.130501278122,15320451.95,0,0,0,0
2023-02-28,1064.470703125,1084.8430233363044,1060.3917051116362,1079.8472903100997,21994038,45.76245420176713,1098.6475952148437,1091.9996826171875,1089.0986603423887,1097.0650313857002,-7.966371043311483,-8.684857878940802,0.718486835629319,1084.625311279297,1124.8517444391655,1044.3988781194284,15285574.15,0,0,0,0
2023-03-01,1074.255859375,1074.9891746629578,1064.7914975745587,1074.301684003674,11551145,48.33175957911644,1094.6120971679688,1089.93876953125,1086.815152501252,1095.3754630886112,-8.560310587359254,-8.659948420624493,0.09963783326523945,1084.716973876953,1124.83453704313,1044.599410710776,14895741.4,0,0,0,0
2023-03-02,1066.07470703125,1077.8077502892104,1064.0351476022956,1071.0933518980983,9333535,48.538307229097086,1089.8455688476563,1087.667793782552,1083.6243147366363,1093.2050367139918,-9.580721977355552,-8.844103131970705,-0.7366188453848466,1084.6963439941405,1124.853782620551,1044.53890536773,14679285.0,0,0,0,0
2023-03-03,1093.276123046875,1096.9656118416422,1073.178871193431,1076.6620279277167,14643807,57.59206152642899,1087.333984375,1086.3440104166666,1085.1092083228268,1093.2103023682794,-8.101094045452555,-8.695501314667075,0.5944072692145195,1085.9888061523438,1125.464084132645,1046.5135281720427,14176496.6,0,0,0,0
2023-03-06,1103.9549560546875,1111.2422843673862,1099.96760718037,1099.96760718037,10171916,54.05618763764644,1087.0727294921876,1085.825341796875,1088.0085541277285,1094.0062026413466,-5.99764851361806,-8.155930754457273,2.1582822408392133,1088.2173889160156,1126.3791263496398,1050.0556514823913,13943198.45,0,0,0,0
2023-03-08,1107.91943359375,1108.6756611476815,1093.0927425824505,1103.954876091951,15782657,47.801228064827185,1086.3050415039063,1085.6275024414062,1091.0717663532703,1095.0368123415246,-3.96504598825436,-7.317753801216691,3.352707812962331,1090.7713745117187,1126.8725982367268,1054.6701507867106,13975559.55,0,0,0,0
2023-03-09,1081.291015625,1107.713156702434,1079.3890511036197,1107.3007350502105,16235128,40.88101707009166,1085.404443359375,1084.7612752278646,1089.567035471998,1094.0186051773376,-4.45156970533958,-6.744516982041269,2.292947276701689,1090.9386596679688,1126.8199752427097,1055.0573440932278,13729299.35,0,0,0,0
